File,SCR_Peaks_N,SCR_Peaks_Amplitude_Mean,EDA_Tonic_SD,EDA_Sympathetic,EDA_SympatheticN,EDA_Autocorrelation
end1.csv,4,0.7629058422027862,0.7826400396721445,,,
high1.csv,4,0.6870705967942042,0.7622078684743022,,,
high2.csv,11,0.4202474571483019,0.8391482193051398,,,
high3.csv,9,0.09846158889342066,0.9809011331845395,,,
high4.csv,6,0.3398588121042149,0.9497547404557097,,,
high5.csv,11,0.13992962609751902,0.9297991100912697,,,
low1.csv,7,0.03584385929712211,0.9842164316569314,,,
low2.csv,6,0.03232713148972112,0.9854541349049957,,,
low3.csv,21,0.02854045336209124,0.9777401585391154,,,
low4.csv,3,0.9409096834442151,0.30947257356408425,,,
low5.csv,6,0.5764002191744241,0.556750913009471,,,
mid1.csv,12,0.021420388976693783,0.9382348940151779,,,
mid2.csv,2,0.1298206677288304,0.810596012407244,,,
mid3.csv,49,0.028123858591208497,0.9921872445755084,,,
mid4.csv,23,0.05339396719892852,0.9704561401494528,,,
mid5.csv,8,0.26579415812336743,0.8668108831218831,,,
start1.csv,8,0.25430805571117276,0.9554826535071956,,,
